"Gene","HR","p.value"
"BCAR3",1.331,0.000120651239796197
"FCGRT",0.696,0.000120847448984951
"SKA3",1.25,0.000121200408246536
"C20orf108",0.645,0.000121841547361705
"ZNF25",0.656,0.000122689122464781
"TMOD3",1.621,0.000123993212989759
"IL16",0.775,0.00012444977092038
"TMEM8B",0.713,0.000124785336562095
"FAM46C",0.787,0.000125019129640472
"ARRB1",0.732,0.000125753602162549
"SLC16A1",1.192,0.000125977507845613
"PXMP4",0.818,0.000127172064553071
"SMOX",1.267,0.000129196502559487
"DNAJC27",0.623,0.000129588365343577
"DEPDC1",1.211,0.000130191340530698
"C2orf58",0.796,0.000130724640242941
"RCBTB2",0.695,0.000130952347375358
"GMPS",1.543,0.000131884991123871
"SEPT1",0.784,0.000133065013308562
"B3GNT8",0.833,0.000134025233818732
"USP44",0.852,0.000134603709052073
"TXNDC11",0.635,0.000135563004579416
"H2AFX",1.428,0.000135621325396398
"FAM13B",0.659,0.000137742906223697
"CSNK1E",1.662,0.000138621882835243
"PKM2",1.625,0.00013983466976519
"CLEC3B",0.841,0.00014108456904767
"BTG2",0.793,0.000142582223674735
"KSR2",0.846,0.00014332659016343
"SHISA2",0.875,0.00014422482555739
"TRAF3IP3",0.79,0.000146074501882049
"MAPK1IP1L",1.883,0.000147939532519901
"RAET1L",1.207,0.000149447182634163
"MAFK",1.304,0.000149463512656828
"CCR6",0.802,0.000149544126341565
"EIF3B",1.632,0.000149748749379571
"C18orf54",1.356,0.000150906932726933
"NDC80",1.222,0.000152110497480927
"CTCFL",1.205,0.000152408796102009
"GCDH",0.576,0.000152535596598123
"C11orf21",0.803,0.000152815464367403
"TK1",1.28,0.000153341820128445
"TSPAN32",0.815,0.000154367602813582
"TLR10",0.84,0.00015564571417713
"CTSH",0.81,0.000155845507447004
"THSD1P1",0.67,0.000156283177396219
"CDK1",1.248,0.000156728403224975
"CBX7",0.739,0.00015890234702572
"C12orf39",1.129,0.000158927116936942
"CTSL1",1.285,0.000160150330388236
"CYP20A1",0.492,0.000164110032416492
"PTPRH",1.133,0.000167642594587792
"RGAG4",0.801,0.000168483961836139
"KIF11",1.279,0.000168885968421805
"PDIK1L",0.622,0.000169505387360411
"ZNF555",0.623,0.000171163199120658
"ARL14",1.111,0.000171630866947847
"CDC42EP2",1.403,0.000171651492963029
"PLIN3",1.496,0.000172375404153411
"ANUBL1",0.611,0.000173088857985265
"C3orf71",0.663,0.000173622966376124
"ABCC6",0.831,0.000174498299630434
"ZNF10",0.696,0.000176479791574056
"DIAPH3",1.246,0.000176644044806286
"BTBD9",0.755,0.000178431337065457
"ZNF187",0.608,0.000178517828992145
"KRT81",1.103,0.000179834469860039
"MKI67",1.236,0.000180127933889849
"KIAA0408",0.914,0.000180311354411616
"ST6GALNAC6",0.682,0.000181454159702447
"ZNF43",0.785,0.00018171680266398
"ZNF502",0.808,0.000182841289412276
"C6orf195",1.399,0.000183268322216078
"WDFY4",0.833,0.000186287632102606
"XRCC5",1.952,0.000188471454194745
"PGS1",0.604,0.000188601633816443
"GYLTL1B",0.833,0.000189135591496088
"ZNF737",0.799,0.000189565668656966
