"Gene","HR","p.value"
"MUL1",1.215,0.234030556760622
"C15orf29",1.128,0.234129460172125
"SEC22C",0.812,0.234132256998996
"LENG1",0.843,0.234134478498968
"RAB11FIP5",1.162,0.234174061601348
"ZZEF1",0.881,0.23419675557973
"BCDIN3D",0.852,0.234271406058237
"ZNF771",1.128,0.234287316198833
"NEFM",1.043,0.234524021518908
"FBLN1",0.93,0.234555739526577
"DSG1",1.064,0.234788318688119
"OR4F29",0.856,0.234887853328787
"LOC100130522",0.919,0.234927451866451
"POLR2D",1.188,0.234944369312254
"OPCML",0.936,0.234993411713094
"SDHAF2",1.224,0.235012311967377
"SLC17A1",0.868,0.235070713841476
"YIF1A",1.152,0.235119898725887
"LHCGR",0.944,0.235226490026418
"SLC41A2",1.101,0.235287399007849
"HTR3A",1.035,0.235435648051949
"KIF9",0.888,0.23551730014899
"TTYH1",1.057,0.235587696848778
"HIRIP3",0.863,0.235621704205535
"OR51B5",0.895,0.235653676166796
"ABCF2",1.224,0.235682516647536
"ACOT1",0.89,0.235980631932524
"C20orf70",0.969,0.235982226941551
"MAP3K14",0.905,0.236068746187573
"SCN5A",1.056,0.236093672062495
"PON2",1.099,0.236097559271537
"SLC33A1",1.179,0.236102356989153
"RAD54L2",0.92,0.236132801987894
"HOXD9",1.049,0.236222421672423
"TIMM50",1.133,0.236230163446926
"TOX2",0.927,0.236254624762745
"AQP7P3",1.144,0.236348884417127
"PTGS2",1.04,0.236435488489726
"SDSL",1.099,0.236437964911964
"H2AFY",1.222,0.236479094567619
"GJA3",1.057,0.236494839589789
"IRAK1",1.156,0.236569140064871
"KLK9",1.069,0.236640944293225
"NAT8B",0.903,0.236674401605176
"VEGFB",0.842,0.236681285107401
"C21orf121",0.933,0.236700939106134
"MRTO4",1.163,0.236707977507043
"GOT1",1.12,0.236711553675726
"FAM154B",0.959,0.236758351460797
"PDE12",0.803,0.236769011593298
"KIAA1841",0.892,0.237028464163287
"PKIA",1.06,0.237033676536109
"MS4A4A",0.936,0.237041886980044
"ZNF595",0.892,0.237094198230861
"OCIAD2",1.101,0.237117958856102
"LOC400891",0.955,0.237162732369954
"DCI",1.134,0.237203041086714
"USP33",0.826,0.237248709965794
"CREBL2",0.853,0.237263487228748
"KIAA0196",1.161,0.23732544670004
"ZDHHC9",0.903,0.237342076188431
"SEMA6B",1.08,0.237504153987256
"CEACAM16",0.903,0.2376640932405
"ADAMTS10",0.933,0.237810879341834
"KIAA1715",1.168,0.238006628926699
"PSMB8",1.106,0.238068491629647
"CBY1",0.87,0.238091038396537
"GNRH1",0.931,0.238098307229011
"LOC284441",1.133,0.238101929587044
"SPDYE5",0.919,0.238128964557199
"STOML2",1.149,0.238144559689464
"SBDS",1.185,0.238171226260377
"NTN3",0.913,0.2382043541891
"BBS2",0.851,0.238218025159989
"PRMT7",0.857,0.238264953108312
"COL23A1",0.936,0.238277329338815
"APOBEC4",0.96,0.238291976464656
"ZNF829",0.923,0.238311996837654
"RAB40AL",0.901,0.238363089836475
"PNMT",0.949,0.238425574968349
"KATNA1",0.83,0.238493433613279
"C17orf66",0.898,0.23854573888267
"LSR",1.118,0.23860542969342
"ZNF544",1.15,0.238636184296525
"IYD",0.966,0.238703430605817
"MORN4",0.881,0.238739323267188
"GCM1",0.943,0.2387478321664
"LOC100287227",0.908,0.2388407161703
"TMEM62",0.873,0.238856656288843
"GLUD2",1.136,0.238866043739754
"PRKAR2A",0.918,0.238913533679132
"PIRT",1.079,0.238928675476111
"PSORS1C3",0.941,0.238961657913395
"FAM124B",0.924,0.238997486850948
"AUH",0.86,0.239019569513057
"SLC30A6",1.155,0.239020793053891
"RDH11",1.163,0.239025038772757
"RPS16",1.109,0.239025672800669
"DNAJB7",0.907,0.239041579768367
"ZNF587",0.883,0.239137218963338
"C4orf14",1.201,0.239222304304532
"LOC148145",0.812,0.239277045966257
"NUDT10",0.939,0.239334478919778
"ZFPL1",1.192,0.239383830151205
"ETFB",1.136,0.239555614730546
"LOC401093",0.917,0.239909320349638
"MALT1",0.866,0.24002005623918
"ORAI2",0.887,0.240038760606213
"BASP1",1.063,0.240194050804464
"ATP6V0E1",0.87,0.240204943003862
"LOC100128675",0.934,0.240222155523273
"PPP4C",1.167,0.240247816100614
"ZYG11B",0.808,0.240260375107888
"C21orf122",1.106,0.240266106290149
"TIMP2",1.095,0.240321085499354
"B3GNT4",1.048,0.24033901996767
"C1orf92",0.961,0.240339995805259
"INSL3",1.086,0.240393188037389
"VILL",1.054,0.240400487350682
"AARS2",0.859,0.240467966288807
"MX1",1.068,0.24049008960396
"C1orf198",0.867,0.240621740936165
"C12orf5",1.166,0.240637261718768
"ARMC7",0.848,0.24067260578439
"RPL19P12",1.061,0.240686093634802
"FCER1G",0.931,0.240687512744416
"ZNF263",0.799,0.240748501564269
"CDK5R2",1.039,0.240889347806653
"HIST1H2AL",1.091,0.241098607170703
"LOC90784",1.113,0.24110702395914
"BRMS1L",0.892,0.241130371050253
"ABHD1",0.935,0.241145889118033
"CLRN1OS",0.739,0.241288738025445
"SLC16A6",0.93,0.241350712885642
"RALY",0.833,0.241477379408376
"THADA",0.796,0.241496062971417
"INPP4B",1.063,0.241506522966851
"TLX1",1.064,0.241565971120777
"CCDC53",0.849,0.241602810984589
"BRAF",0.87,0.241668552026384
"PRTG",0.941,0.241756801320199
"psiTPTE22",1.04,0.241773419458131
"MMP21",0.882,0.241822046308197
"DDX19B",0.81,0.241841941078856
"CASC1",0.952,0.242005978174832
"TRAF6",0.829,0.242054302513985
"DPYSL3",0.929,0.242138879495212
"CELA3B",0.822,0.242153584215792
"FRYL",1.176,0.24216163616223
"KLK3",0.9,0.242187680365263
"ACADS",0.893,0.242224400904882
"ZNF174",0.79,0.242301223394132
"C10orf41",0.914,0.242319953478686
"BTBD19",0.93,0.242333010874118
"POLE3",1.169,0.242336804765507
"YOD1",1.141,0.242341860417309
"PI4K2A",0.837,0.242404862656456
"CENPB",1.185,0.2426307688831
"PRRT1",1.082,0.242719973809683
"GPATCH4",1.146,0.242721638214696
"RBM26",1.192,0.242722490730644
"CCDC72",0.876,0.24272639241393
"MAPK11",1.092,0.242741333865798
"PGBD1",0.919,0.242790317388791
"ZNF706",1.16,0.242824426173451
"USP12",0.896,0.242877625959776
"NODAL",0.922,0.242890556994039
"KANK2",0.882,0.243083920004407
"ORAOV1",0.86,0.243094714636368
"OVCH2",0.914,0.243148777523996
"ACMSD",1.039,0.243182430103798
"PHF23",1.215,0.243231423259467
"RNASET2",1.121,0.243265228263299
"NUPL2",1.17,0.243306952818124
"CRISPLD1",1.049,0.243338007089509
"GUCY2F",0.83,0.243408443265554
"C9orf41",1.121,0.243434776343898
"ABCA11P",0.886,0.243467251069147
"PEX6",1.102,0.243552537397755
"HIST1H4I",0.895,0.24357891060529
"FOS",0.942,0.243586679277546
"SGEF",0.923,0.243596578885471
"WHSC2",1.193,0.243648769910989
"NHLH1",1.081,0.243669765210176
"CD300A",0.926,0.24378624510554
"NALCN",0.945,0.243797512578594
"LOC162632",0.953,0.243850862172223
"HIST1H3I",1.128,0.243879875123523
"PTPMT1",0.833,0.243883510979565
"IGSF5",0.93,0.243915851703246
"DRD1",0.957,0.243918057053502
"C9orf123",0.883,0.243975129336475
"ACTR3C",0.918,0.243979766777691
"PRTFDC1",1.083,0.2439841012349
"FRMD1",1.076,0.244025456566507
"HMGB1",1.181,0.244097214309039
"NLRP8",1.119,0.244214855196575
"C11orf34",0.846,0.244255544211596
"RANBP17",0.929,0.244263790667098
"CLRN3",1.055,0.244304404918105
"RG9MTD1",1.163,0.244306276841714
"C10orf71",0.939,0.244332457650723
"PTS",1.129,0.244505011185512
"ZNF853",0.93,0.244517111496919
"GRK4",0.855,0.244533441659331
"LOC157381",0.953,0.244685528896748
"COMP",0.967,0.244813005632741
"TOM1L2",0.892,0.244879298018872
"CCR3",0.935,0.24496807896375
"RORB",0.953,0.244981410057826
"ZNF614",0.899,0.245009557499614
"WASL",1.199,0.245077363252368
"SFRS12IP1",1.158,0.245127462453711
"CAPRIN1",1.241,0.245169088040444
"GAS6",0.922,0.245267950864107
"MDM2",1.102,0.245288671389594
"ZNF251",0.892,0.245420391629682
"BRSK1",0.948,0.245445647868267
"METTL13",1.217,0.245573734793332
"HOXD10",1.045,0.245576844901595
"KGFLP2",0.922,0.245577181449216
"JMY",0.876,0.245579875184821
"PBRM1",0.851,0.245584051046102
"HUS1B",1.102,0.245631544930261
"MAGEA9B",1.029,0.24568774018526
"C9orf24",0.965,0.245773955680379
"ETAA1",0.839,0.245920855825892
"AMIGO3",0.899,0.245932336150342
"MYH1",0.926,0.246097101508814
"SP110",1.148,0.246138083776478
"DYX1C1",0.907,0.246234117355199
"ALDH1A1",0.95,0.246282169134322
"C1orf152",0.914,0.24631450902985
"MCM3",1.14,0.246314727026704
"LOC100129550",0.887,0.246400479821859
"VEGFA",1.086,0.246442825863744
"MMP23B",0.931,0.246448257582247
"HSBP1L1",1.101,0.246578820491383
"MARCH8",0.907,0.246672320842979
"CIAPIN1",1.19,0.246692095108075
"FAM50B",0.931,0.246706733427576
"HSP90AB2P",1.081,0.246749735189792
"AGTRAP",1.137,0.246750188665717
"ALKBH8",1.143,0.246771518770836
"PARP9",1.145,0.246828386629008
"OXER1",0.927,0.246944111530935
"OSTC",1.144,0.246962716991091
"COPG",1.213,0.246973334646139
"ZNF331",0.912,0.246983275272525
"AP4S1",0.887,0.246998139006313
"TP53INP2",1.105,0.24706983518034
"C6orf35",1.191,0.247147989201081
"STS",0.93,0.247208818672896
"VAC14",0.849,0.247236156887734
"FRMD5",1.055,0.247281951767949
"OXSR1",1.218,0.247348241930985
"STAC",0.955,0.247360229656429
"PRR22",0.93,0.247397628142151
"FBXL3",0.864,0.247431101607072
"C1orf216",0.842,0.247431379762856
"VAV1",0.934,0.247440539974555
"GGTLC2",0.934,0.247577778743525
"NFIL3",1.131,0.247579411013086
"MRPL45",1.166,0.247589361391984
"CCDC50",1.143,0.247701771085135
"SKINTL",0.887,0.247799875240891
"BSG",1.152,0.247826957449012
"JMJD6",1.192,0.247841604895136
"SH3PXD2B",1.095,0.247928436247015
"TCF19",1.096,0.247932240030734
"DENND2D",0.864,0.247993829326963
"AQP7P1",1.075,0.248078083425654
"PICK1",0.867,0.248082870396096
"ZNF600",0.877,0.248094349673953
"C16orf48",0.915,0.248111359649435
"SUMO1",1.213,0.248134472480898
"SOX3",0.926,0.248155646210386
"SECTM1",1.075,0.248270444672146
"HAVCR2",0.935,0.248388749646407
"KCNK6",1.101,0.248424072773976
"STAC3",0.929,0.248565411432804
"FMN2",1.047,0.248704865056702
"ZBTB24",0.826,0.248716992204562
"HEATR7A",0.883,0.248932126906131
"HCN1",0.956,0.248938232259494
"HHLA1",1.09,0.248988191982032
"RNF41",0.83,0.249110443260039
"ZNF18",0.83,0.249142289347304
"TRAF1",0.913,0.24914884679
"BCAS3",0.873,0.249270261827283
"C18orf32",0.871,0.249276550719007
"CNOT10",1.262,0.249277126337637
"KHK",0.904,0.249300000024316
"BHLHE41",0.94,0.249345395627579
"ZNF556",0.922,0.249354625310694
"ARAF",0.834,0.249363632857895
"CFI",0.935,0.24940644578085
"C14orf145",1.095,0.249632590236767
"MBOAT4",0.908,0.249707012114371
"DENND4C",0.86,0.249749369280792
"ZNF551",0.898,0.249808373083065
"KIF21B",0.928,0.249813871362077
"PIP4K2C",1.135,0.249843689307518
"IQCA1",0.957,0.249851513581902
"FAM36A",1.146,0.249896943448671
"CFH",1.075,0.249915947184708
"WDR45",0.834,0.250062484378583
"ZC3H12A",1.093,0.250076505119634
"CHMP5",1.158,0.250093168175625
"PACRGL",0.855,0.250112417296615
"FZD7",0.92,0.250128371497103
"PROKR2",1.2,0.250203510310209
"MYL2",0.872,0.250254963613868
"SEMG1",1.17,0.250261629352247
"ATAD5",1.084,0.250303372301097
"ZNF790",0.888,0.250303730085389
"NKAIN3",1.087,0.250386265105908
"PPIL1",1.134,0.250450434765501
"C3orf66",1.098,0.250454259311679
"ZNF528",0.916,0.250602005826185
"PSMD3",1.168,0.250663582255359
"CLU",0.953,0.25069013340613
"WAC",0.809,0.250736576428421
"DUSP9",1.038,0.250833718315092
"LRRFIP1",1.168,0.250834016387955
"RNF7",1.17,0.2508601862024
"C1QL4",1.062,0.250873614732915
"DAPK1",0.927,0.250879808054986
"TRAP1",1.171,0.250928974097136
"CYMP",0.898,0.250935774550129
"PRB1",0.929,0.250952468540612
"AKR7L",0.952,0.250995848596381
"RAB33B",0.857,0.251136832687062
"PTRH1",0.898,0.251149469021029
"LOC389332",1.069,0.251166095590331
"ABHD12",0.865,0.251248467974485
"LAT2",0.93,0.251310625854902
"ARHGAP21",1.154,0.251396095608181
"NDUFAF2",1.119,0.251458264603662
"KLF3",1.175,0.251469854706824
"TMPRSS11A",1.083,0.251567147989745
"AG2",0.937,0.251570061217276
"KIAA1468",0.861,0.251651244135354
"IL18",1.076,0.251690325031816
"ATP5J2",1.103,0.251719874135179
"CLEC4C",0.919,0.251764582428336
"ERLEC1",0.863,0.251881562769439
"ADD2",0.953,0.251998525800445
"TMEM127",1.22,0.252015777068698
"OFD1",0.876,0.252111058696024
"FAM69B",0.943,0.252116822195539
"PSMC2",1.182,0.252171260867781
"IL23A",1.057,0.252194721088462
"TAF1C",0.893,0.252200938168409
"DHX9",1.252,0.252225251503161
"GJB7",1.035,0.252242774577239
"LOC729082",1.172,0.252272771241063
"GSDMA",0.944,0.252304431074813
"S100A2",1.041,0.252336284887967
"NHSL1",0.919,0.252439099064494
"TET1",1.084,0.252575954947413
"LOC100133893",0.906,0.252662819140654
"FAM169A",1.068,0.252724875901035
"SMURF1",1.144,0.252834824903617
"ACOT6",1.096,0.252957853146974
"AFM",1.199,0.253257667713647
"BYSL",1.115,0.253283223592668
"ZNF561",0.851,0.253505365689095
"LOC374443",0.914,0.253525531183474
"SRR",1.132,0.253549930022952
"WNT9B",0.917,0.25359244032645
"NDUFAF1",0.848,0.253653829852964
"HTR1B",1.065,0.253659275995725
"GORASP2",1.223,0.253679838207243
"ZNF774",0.886,0.25368683605547
"SEPT9",1.183,0.253772155549382
"OBFC2B",1.163,0.2537997245622
"GGN",1.09,0.253808665125395
"STXBP5L",1.043,0.254001975735177
"DENND2A",0.927,0.254028141706211
"SMO",1.07,0.254123687112112
"SRCRB4D",1.065,0.254300988439712
"IL1F7",0.973,0.25435974433204
"TMEM72",0.915,0.254364230651327
"SPATA21",0.906,0.254383169416425
"TARS",1.128,0.254387150230159
"FAM172A",0.865,0.254442074608888
"THOC3",1.133,0.254617156939432
"STON2",1.081,0.254619049757091
"ECM2",0.935,0.254622166166069
"MKNK2",0.863,0.254622673075259
"FBXO4",0.888,0.254628988620187
"MEST",1.103,0.254644223536002
"SEPT12",1.094,0.254644444013102
"RREB1",1.143,0.254685870025375
"PKN2",1.165,0.254796179476816
"FANCG",1.124,0.254934655295118
"FNDC1",1.047,0.254940523478599
"COQ3",1.136,0.254994196612013
"PIK3CB",1.15,0.255032134707271
"RMRP",0.938,0.255085504547727
"LTBP2",0.935,0.255172648254786
"PGP",1.145,0.255181489683726
"ITGAE",0.893,0.255198304127467
"PCDHB13",1.067,0.255211354895111
"TGIF2LX",1.076,0.255233248666127
"PTPN4",0.861,0.255248108387174
"CTNNBL1",1.203,0.255264633089148
"GPC2",0.952,0.255277450347525
"LCN12",0.95,0.255290673858353
"ORM2",0.971,0.255294070494485
"CCDC9",1.156,0.255370543921952
"PDHA1",1.176,0.2554564056768
"METTL11A",1.163,0.255514477585125
"TAS2R60",1.206,0.255541982542568
"TACR2",0.929,0.255544487434162
"TMEM106C",1.104,0.255597674837972
"MRPL35",1.203,0.255648986937902
"ADPRH",0.902,0.255695536171407
"GNAI2",0.86,0.255698899679574
"HTR1F",0.936,0.255707725523458
"ARID4B",0.839,0.255830119876595
"C10orf78",1.138,0.255926100911131
"CDS1",0.88,0.255977240892219
"UGT1A1",1.038,0.256240943946249
"CILP2",1.047,0.25629093487285
"MAP3K9",1.105,0.256301729139869
"HRASLS5",0.957,0.256306886560942
"ESAM",0.92,0.256334384162029
"SIGLEC16",0.936,0.256388040454063
"ARMC6",0.858,0.256419336712675
"LOC100132288",0.931,0.256423930964552
"FAM3D",0.966,0.256446368046692
"CMC1",1.137,0.256575192488103
"PAX1",1.063,0.256602995690876
"STXBP6",0.95,0.256717006895847
"SLC48A1",0.876,0.256842453875528
"HIPK4",1.1,0.256914706680505
"COG2",1.208,0.256935222421737
"POU1F1",1.218,0.257115450674184
"NUP205",1.148,0.257136459822301
"LOC729609",1.35,0.257214644816913
"C14orf143",1.081,0.257252405817961
"SLC35A3",1.123,0.257281160590979
"RP1.177G6.2",0.829,0.25729094029919
"TBC1D26",0.875,0.257339150272967
"CCL7",1.043,0.257427453099448
"LIN7C",1.211,0.257471654560697
"ATM",0.882,0.257508139812366
"CSH2",0.763,0.257513797895116
"CAPZA3",0.907,0.257532294507133
"CCDC150",1.054,0.257695734210561
"LFNG",0.938,0.257708419580639
"LOC401052",0.911,0.257728344549281
"TOX3",0.969,0.257735093259201
"RET",0.963,0.257757652137581
"C14orf129",1.126,0.257796497771014
"KIAA1804",1.111,0.257826673086158
"DOCK11",0.928,0.257836470811064
"SUMO4",1.126,0.257864581382185
"FBXW2",0.836,0.258061040939036
"C5orf4",0.95,0.258189654722326
"DTX4",0.922,0.258299934665619
"ARL13B",0.872,0.258308335513708
"FSCN3",0.891,0.258431950142297
"SFRS15",1.193,0.258437553841702
"C1orf54",0.921,0.258454719702731
"HIST1H1B",1.07,0.258482750886351
"TNIP1",1.178,0.258505203490585
"H2BFXP",0.922,0.258629793256391
"TRA2A",0.835,0.258696333522566
"ECSCR",0.92,0.258727279828603
"FAR1",0.848,0.258908465077107
"LDHC",1.039,0.259031443904539
"SESTD1",0.898,0.259085188265485
"LRCH3",1.123,0.259257197398875
"EFCAB7",0.868,0.259288432586489
"NLGN3",0.916,0.25932605651533
"TRIM53",0.911,0.259366279581375
"C15orf24",1.17,0.259632507676672
"FNTB",1.22,0.259671793624615
"ING5",0.882,0.259679091711463
"SIAE",0.927,0.259814587273798
"HIATL2",0.885,0.2598493619491
"XIRP2",0.908,0.259955836208758
"ATP2B2",0.933,0.259987590597236
"PTPLB",1.09,0.260029594652017
"PEX2",0.877,0.260070014920742
"TPCN2",0.861,0.2600910082644
"PCDHGA8",1.049,0.260382421967555
"NUFIP1",1.192,0.2604198532523
"SDHA",1.155,0.260436473228934
"SDHC",1.156,0.260460771346375
"MURC",1.078,0.260589612523921
"EXOC3",0.846,0.260649676387592
"RLF",0.843,0.260679444259796
"CXorf59",0.935,0.260714327638384
"MFAP1",1.204,0.260842729790831
"MITD1",1.158,0.260860062352023
"RAB11FIP2",0.874,0.260870981599062
"MYLK",0.93,0.260874497397799
"SLC47A2",0.94,0.260876160116993
"NKD2",0.942,0.260955782999225
"ZDHHC12",1.139,0.26097983142953
"TGIF2",0.879,0.261033771712425
"TBC1D1",1.105,0.261054928517267
"STAG1",1.144,0.261099035424871
"FEZF1",0.968,0.261181966685241
"UBXN6",0.83,0.261208804040592
"SUMO1P3",1.178,0.261214555285878
"PEX1",0.865,0.261255377448856
"ACTL7B",0.763,0.261258944116767
"STL",0.922,0.261285084987004
"HADHA",1.284,0.261312590461501
"C12orf54",0.892,0.261317228700899
"RAPGEF6",0.924,0.261371817469029
"ADCY2",0.955,0.261384784776736
"ERCC8",1.165,0.261456118830229
"CPNE7",0.954,0.261649018837042
"EDAR",1.039,0.26190911373126
"KIF5A",0.957,0.261938755406114
"PRUNE",0.855,0.261976750436763
"SEMA3F",1.092,0.262050249831235
"ZC3H11A",1.179,0.262199077935248
"GCNT3",1.037,0.262248580000485
"AGR3",0.971,0.262275354226784
"PAGE2B",0.955,0.262307331810475
"CTSA",0.88,0.262365168259101
"POLR2A",1.134,0.262491664313698
"C5orf36",1.091,0.262493449476
"FBN1",1.065,0.26249965817686
"PRKCQ",0.945,0.262614371168198
"NOC3L",1.181,0.262636955394272
"LOC729991.MEF2B",0.925,0.262673585765343
"SIRT7",1.148,0.262703977802632
"SPIN1",1.228,0.262705939688835
"LOC283314",0.926,0.262734489333767
"ZC3H10",0.829,0.262785887657881
"KLRF1",0.945,0.262872117854721
"CD93",0.926,0.262915630155941
"ST7OT2",1.116,0.26301952713164
"GRTP1",1.097,0.263035988844165
"FNDC8",1.112,0.263129922407107
"TARBP2",1.149,0.263159656799
"ZAN",0.839,0.263207378758232
"HSPB2",0.925,0.263214494640112
"SLC12A1",0.892,0.263250085135945
"C19orf12",0.841,0.263283023850809
"PRRX1",1.074,0.26336775598944
"GATSL1",1.081,0.263467293473828
"HIST1H1D",1.059,0.263514747686334
"IL17B",1.091,0.263642574643879
"SLC45A4",1.089,0.263657866134645
"PRB3",0.956,0.263739740846312
"CTSE",0.974,0.2637783030774
"TREH",0.947,0.263816716596655
"LOC388152",0.92,0.263869326299393
"GCK",0.935,0.263892214737954
"JAK1",1.161,0.263906570498163
"SPTY2D1",1.201,0.263929910267909
"TMEM123",1.143,0.263967451729236
"PRSS55",0.772,0.264042460798567
"LIME1",0.934,0.26408944139456
"TSGA10IP",0.891,0.264151857280546
"GSN",0.904,0.264190916903361
"BCAS1",1.034,0.264224289936119
"PDE4D",1.059,0.26427565533369
"UBE3A",1.216,0.264287282562855
"DYNLT3",1.152,0.264302024462488
"SNORA72",0.781,0.264380763525731
"DYRK1A",0.817,0.26444853184307
"STMN4",0.861,0.264465764108027
"UTP18",1.18,0.264477388240157
"KRTAP5.1",0.943,0.264509861172798
"DAB2IP",0.891,0.264527465775102
"NPPC",0.876,0.264573078209487
"PLXNA4",1.059,0.264586091566612
"EFTUD2",1.221,0.264625573341066
"MBLAC2",0.886,0.264678354913327
"ZNF385B",0.968,0.264934199559343
"MCRS1",1.213,0.265002415405845
"ZFYVE26",0.879,0.265218556272916
"FAM183A",0.964,0.26524529498165
"CPE",1.05,0.265301146541133
"ERCC2",1.159,0.265464493550126
"EDA",0.95,0.265542769678881
"HCFC1",1.161,0.265587187207527
"MAP1LC3B2",0.86,0.265644571997825
"BTBD6",0.868,0.265802769329407
"RARB",1.086,0.265804586611717
"C11orf65",1.089,0.26582479612059
"CCDC12",0.863,0.265837623629835
"SNRPG",1.109,0.265837663105264
"PCDHA9",1.063,0.265840984111358
"SEMA4C",0.883,0.265915812365341
"STK38",1.178,0.266020347956637
"DCAF12",0.863,0.266096750034071
"DHX35",0.845,0.266128498359525
"MCEE",0.886,0.266196815502557
"CLCF1",1.072,0.266353751668852
"EZH2",1.079,0.266354590940051
"GRP",0.961,0.266407796123753
"X..90288",0.954,0.266471429984732
"PSG9",1.063,0.266472241786304
"KIAA0753",0.868,0.266536907556399
"KCNJ12",1.05,0.26653701385075
"ADK",0.901,0.266555825861403
"C3orf65",1.154,0.266615846822173
"P4HB",1.156,0.26664258372746
"N4BP1",0.832,0.266820822338933
"EIF3A",1.161,0.266826668442087
"CNP",1.194,0.266963051109246
"NUMA1",0.888,0.266986198825582
"FHOD3",1.048,0.267013547754502
"CAND2",0.935,0.267086944880141
"TOX4",0.799,0.267088838122287
"C2orf57",0.826,0.26716135320386
"TOPBP1",1.126,0.267301102639768
"ANKRD9",1.081,0.267312899185074
"HRK",0.915,0.267317811921459
"MAN2A2",0.873,0.267329112825503
"C17orf59",0.853,0.267352478461821
"LOC100133957",0.892,0.267387227742
"C8orf75",1.061,0.267529123266341
"ARID2",0.857,0.267627309318257
"TSEN15",0.867,0.267693507109951
"ARMS2",0.812,0.267827489729637
"ANKZF1",0.872,0.267869204085728
"TBC1D7",0.891,0.267938173568142
"MUTED",0.837,0.267979809286072
"RTDR1",0.953,0.268063329878197
"SPP2",0.959,0.268117046306595
"CALD1",1.091,0.268160603412832
"ZNF699",0.925,0.268162170531536
"CTH",1.084,0.268205134055425
"MVK",0.874,0.268206292992866
"POP7",1.124,0.26820954374944
"DNAJB14",1.159,0.26824832646224
"N6AMT1",1.145,0.268250179921578
"SKAP1",0.947,0.268264781015444
"IL17C",1.045,0.268305319082069
"GLUD1",1.186,0.268320261173253
"ZBTB45",1.176,0.268365318945794
"CCNDBP1",0.875,0.268370706456015
"TTC14",0.885,0.268370706561034
"MEGF6",0.937,0.26846533559799
"IL1F5",1.03,0.268487786680451
"MTF1",0.868,0.268504465948324
"FILIP1",0.95,0.268586457561082
"NDNL2",0.845,0.2686504093984
"MARCH5",1.202,0.268693241333173
"ADAMTS2",1.059,0.268713625204021
"ASPRV1",0.901,0.268726146223876
"SNORA9",0.595,0.268758165813634
"OCEL1",0.885,0.268769385991464
"CUL1",1.277,0.268837676251704
"CD38",0.948,0.268927610475082
"PHLPP1",1.111,0.269009621830625
"MSMP",0.896,0.269022373920554
"CS",1.187,0.269091452266373
"FAM90A7",0.777,0.269105254330307
"SPINT2",1.118,0.269113137806998
"PTGS1",0.931,0.269234656151989
"SEL1L2",0.708,0.269415775309186
"CRYBG3",0.905,0.269755931342867
"NMNAT2",1.034,0.269758360093318
"ZBTB33",0.846,0.269783180044401
"GPR172A",1.121,0.269810827830161
"EBF2",1.067,0.269935458001606
"PVRL4",0.928,0.269986218105243
"ANKRD34B",0.969,0.270033551612129
"MRS2",0.872,0.270036644942086
"PIGM",0.865,0.270057329413407
"NCRNA00120",0.91,0.270060976554302
"PALB2",1.201,0.270133454372982
"CECR4",0.904,0.270151486428049
"ZBTB2",1.226,0.270220886027816
"IQSEC2",0.883,0.270220924784157
"TM2D2",1.135,0.270222952066235
"CDK16",1.152,0.270257825145642
"KBTBD13",0.706,0.270262269972951
"OR4C6",0.927,0.27028340242716
"SARS",0.833,0.27028964801523
"VN1R5",0.837,0.270348025599863
"ZDHHC23",0.902,0.270353911973424
"PAR1",0.894,0.270387485808118
"CARS",1.193,0.27039404863746
"SLC35E4",1.109,0.270413293313007
"FAM74A1",0.782,0.270439485629583
"FDX1",1.146,0.270547957840583
"DST",1.069,0.270570807664806
"PNPT1",1.141,0.270663642517536
"ADAT2",0.915,0.270697155093603
"ECHDC3",0.944,0.270744549978212
"NXF2",0.945,0.270775099202009
"FAM71D",1.12,0.270931893683743
"GXYLT1",1.154,0.270937247363839
"TBXA2R",1.097,0.270982076917648
"HIST2H2AA3",1.059,0.271209370941792
"C14orf149",1.1,0.271249395237681
"EFCAB1",0.967,0.271472068449785
"IFIT5",0.89,0.271542184792217
"POLR1A",1.119,0.271565627440307
"DCDC1",0.925,0.27166322011096
"PIF1",1.058,0.27178886624161
"IL12A",0.932,0.271808078683445
"SNAPC4",0.894,0.271852878342783
"TUBA3D",0.914,0.271870696850135
"TBC1D10B",1.208,0.272037087194957
"LRPPRC",1.165,0.272112291747476
"NOC2L",1.155,0.272171639014923
"FTL",0.911,0.272247090999887
"C20orf30",1.164,0.272253471906871
"PCYOX1L",0.899,0.272381009583969
"MGAT1",0.862,0.272424175294389
"MAP2",0.95,0.272595517182806
"WFDC12",0.958,0.272631915463382
"FKBP15",0.85,0.272648740877407
"SRFBP1",1.155,0.272814833428087
"CRIPAK",0.929,0.273013839056113
"CAMLG",0.858,0.273027922587185
"MICA",0.913,0.273076264996896
"PDZD3",1.054,0.273360136321149
"COPZ2",0.928,0.273367948158171
"GOLGA6L1",0.939,0.273461660407718
"PHOX2A",0.922,0.273468664951188
"SPEF2",0.942,0.273510465075272
"GSTA4",0.929,0.273564646357514
"GALR1",0.913,0.273580344261167
"B4GALT2",1.152,0.27359384160172
"MAP3K11",1.187,0.273596042019138
"MORF4L2",1.172,0.27361525975058
"GABRG1",0.893,0.273634373771149
"C8orf79",0.946,0.273742897096409
"DIO3OS",0.921,0.273769059436106
"LRRC37B2",0.826,0.273770017423179
"GCA",0.86,0.27381611587823
